,run,lumi,evtid,cat
514,1,237,236426,eemt
629,1,461,460400,eemt
961,1,445,444657,eemt
1032,1,479,478522,eemt
1244,1,305,304832,eemt
1382,1,304,303959,eemt
1413,1,76,75588,eemt
2492,1,186,185361,eemt
2850,1,138,137377,eemt
3975,1,215,214339,eemt
3994,1,221,220369,eemt
4200,1,7,6652,eemt
4359,1,219,218001,eemt
4394,1,315,314460,eemt
5122,1,480,479080,eeet
5481,1,196,195852,eeet
5528,1,129,128976,eeet
5829,1,281,280512,eeet
6212,1,473,472422,eeet
6777,1,466,465719,eeet
6864,1,43,42207,eeet
7062,1,241,240644,eeet
7063,1,241,240672,eeet
7275,1,217,216625,eeet
7386,1,249,248228,eeem
7399,1,257,256195,eeem
7404,1,258,257907,eeem
7622,1,351,350855,eeem
8455,1,44,43441,eeem
8474,1,62,61844,eeem
9212,1,183,182958,eett
9783,1,161,160135,eett
10457,1,263,262879,eett
11162,1,287,286629,eett
11327,1,342,341396,eett
11479,1,355,354830,eett
12137,1,105,104206,eett
13123,1,382,381045,eett
13236,1,439,438466,eett
14832,1,500,499402,eett
15148,1,491,490341,eett
16926,1,478,477082,mmmt
17742,1,194,193276,mmmt
23334,1,184,183067,mmet
23374,1,293,292259,mmet
23634,1,101,100795,mmet
24140,1,442,441998,mmet
24333,1,399,398610,mmet
24901,1,327,326755,mmet
27009,1,197,196024,mmet
27118,1,214,213102,mmet
27222,1,386,385191,mmet
27720,1,258,257427,mmem
29568,1,386,385457,mmem
30436,1,292,291082,mmtt
33994,1,483,482658,mmtt
40592,1,491,490572,mmtt
